VGS_SUPPLY	V(drain)	V(gate)	V(source)	I(VDD_SUPPLY)	I(VGS_SUPPLY)	I(VSB_SUPPLY)	Ib(M_DUT)	Id(M_DUT)	Ig(M_DUT)	Is(M_DUT)
Step Information: Temp=-40  (Step: 1/34)
0.000000000000000e+00	8.000000e-01	0.000000e+00	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.000000000000000e-03	8.000000e-01	1.000000e-03	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
2.000000000000000e-03	8.000000e-01	2.000000e-03	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
3.000000000000000e-03	8.000000e-01	3.000000e-03	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
4.000000000000000e-03	8.000000e-01	4.000000e-03	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
5.000000000000000e-03	8.000000e-01	5.000000e-03	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
6.000000000000000e-03	8.000000e-01	6.000000e-03	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
7.000000000000000e-03	8.000000e-01	7.000000e-03	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
8.000000000000000e-03	8.000000e-01	8.000000e-03	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
9.000000000000001e-03	8.000000e-01	9.000000e-03	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.000000000000000e-02	8.000000e-01	1.000000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.100000000000000e-02	8.000000e-01	1.100000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.200000000000000e-02	8.000000e-01	1.200000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.300000000000000e-02	8.000000e-01	1.300000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.400000000000000e-02	8.000000e-01	1.400000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.500000000000000e-02	8.000000e-01	1.500000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.600000000000000e-02	8.000000e-01	1.600000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.700000000000000e-02	8.000000e-01	1.700000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.800000000000000e-02	8.000000e-01	1.800000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
1.900000000000000e-02	8.000000e-01	1.900000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
2.000000000000000e-02	8.000000e-01	2.000000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
2.100000000000000e-02	8.000000e-01	2.100000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
2.200000000000000e-02	8.000000e-01	2.200000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
2.300000000000000e-02	8.000000e-01	2.300000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
2.400000000000000e-02	8.000000e-01	2.400000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
2.500000000000000e-02	8.000000e-01	2.500000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
2.600000000000000e-02	8.000000e-01	2.600000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
2.700000000000000e-02	8.000000e-01	2.700000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
2.800000000000000e-02	8.000000e-01	2.800000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
2.900000000000000e-02	8.000000e-01	2.900000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
3.000000000000000e-02	8.000000e-01	3.000000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
3.100000000000000e-02	8.000000e-01	3.100000e-02	0.000000e+00	-1.618354e-18	0.000000e+00	1.618354e-18	-8.183544e-19	1.618354e-18	0.000000e+00	-8.000000e-19
