Temp_C,VDD_V,V_rms_noise_uV,E_noise_spectral_norm,lambda_k,Margin,Pass
-40,1.2,343.0158904698515,0.003049030137509791,1.5,1.49695096986249,True
-40,1.5,426.65315828228324,0.00379247251806474,1.5,1.4962075274819353,True
-40,1.8,510.59871579917115,0.004538655251548188,1.5,1.4954613447484517,True
-40,2.0,566.6660585813822,0.005037031631834508,1.5,1.4949629683681656,True
27,1.2,344.3616354148139,0.003060992314798346,1.5,1.4969390076852016,True
27,1.5,427.73584407083194,0.0038020963917407284,1.5,1.4961979036082593,True
27,1.8,511.503747206707,0.004546699975170728,1.5,1.4954533000248293,True
27,2.0,567.4816796856958,0.005044281597206184,1.5,1.4949557184027937,True
85,1.2,345.5223760716603,0.003071310009525869,1.5,1.4969286899904741,True
85,1.5,428.6708862561437,0.0038104078778323884,1.5,1.4961895921221675,True
85,1.8,512.2859160929015,0.004553652587492458,1.5,1.4954463474125075,True
85,2.0,568.1867942847133,0.005050549282530785,1.5,1.4949494507174692,True
125,1.2,346.32062018691244,0.0030784055127725547,1.5,1.4969215944872274,True
125,1.5,429.3145563850235,0.0038161293900890974,1.5,1.4961838706099109,True
125,1.8,512.8246478354811,0.0045584413140931646,1.5,1.495441558685907,True
125,2.0,568.672570817321,0.005054867296153964,1.5,1.494945132703846,True
