VX_SRC	V(bl)	V(blb)	V(q)	V(qb)	V(qbx)	V(qx)	V(vddx)	V(wl)	V(wl_dc)	I(CBL)	I(CBLB)	I(RBL)	I(RBLB)	I(VDD_NOISY)	I(VWL)	I(VWL_DC)	I(VX_SRC)	Ib(MN1_DC)	Ib(MN2_DC)	Ib(MP1_DC)	Ib(MP2_DC)	Id(MN1_DC)	Id(MN2_DC)	Id(MP1_DC)	Id(MP2_DC)	Ig(MN1_DC)	Ig(MN2_DC)	Ig(MP1_DC)	Ig(MP2_DC)	Is(MN1_DC)	Is(MN2_DC)	Is(MP1_DC)	Is(MP2_DC)	Ix(xcell:bl)	Ix(xcell:blb)	Ix(xcell:q)	Ix(xcell:qb)	Ix(xcell:vdd)	Ix(xcell:vss)	Ix(xcell:wl)
0.000000000000000e+00	7.999995e-01	7.999995e-01	3.508475e-01	3.508475e-01	7.999861e-01	0.000000e+00	8.000000e-01	0.000000e+00	0.000000e+00	3.999998e-29	3.999998e-29	-9.446370e-10	-9.446370e-10	-1.308415e-05	0.000000e+00	0.000000e+00	9.446374e-10	-9.446366e-10	0.000000e+00	3.819368e-13	9.446366e-10	9.446374e-10	0.000000e+00	-9.446374e-10	-9.446374e-10	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00	-7.999861e-16	-0.000000e+00	9.442555e-10	8.000000e-16	9.446370e-10	9.446370e-10	-6.257621e-21	-3.738699e-19	1.308037e-05	-1.308226e-05	0.000000e+00
1.000000000000000e-03	7.999995e-01	7.999995e-01	3.508475e-01	3.508475e-01	7.999861e-01	1.000000e-03	8.000000e-01	0.000000e+00	0.000000e+00	3.999998e-29	3.999998e-29	-9.446370e-10	-9.446370e-10	-1.308415e-05	0.000000e+00	0.000000e+00	-1.556741e-07	-9.446366e-10	-2.713506e-11	3.824729e-13	9.446366e-10	9.446374e-10	1.566188e-07	-9.446374e-10	-9.446374e-10	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00	-7.999861e-16	-1.565916e-07	9.442549e-10	7.990000e-16	9.446370e-10	9.446370e-10	4.753807e-21	-3.738699e-19	1.308037e-05	-1.308226e-05	0.000000e+00
2.000000000000000e-03	7.999995e-01	7.999995e-01	3.508475e-01	3.508475e-01	7.999861e-01	2.000000e-03	8.000000e-01	0.000000e+00	0.000000e+00	3.999998e-29	3.999998e-29	-9.446370e-10	-9.446370e-10	-1.308415e-05	0.000000e+00	0.000000e+00	-3.120943e-07	-9.446366e-10	-5.349065e-11	3.830106e-13	9.446366e-10	9.446374e-10	3.130389e-07	-9.446374e-10	-9.446374e-10	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00	-7.999861e-16	-3.129854e-07	9.442543e-10	7.980000e-16	9.446370e-10	9.446370e-10	-1.388092e-20	2.774984e-19	1.308037e-05	-1.308226e-05	0.000000e+00
3.000000000000000e-03	7.999995e-01	7.999995e-01	3.508475e-01	3.508475e-01	7.999861e-01	3.000000e-03	8.000000e-01	0.000000e+00	0.000000e+00	3.999998e-29	3.999998e-29	-9.446370e-10	-9.446370e-10	-1.308415e-05	0.000000e+00	0.000000e+00	-4.683158e-07	-9.446366e-10	-7.908917e-11	3.835498e-13	9.446366e-10	9.446374e-10	4.692604e-07	-9.446374e-10	-9.446374e-10	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00	-7.999861e-16	-4.691813e-07	9.442539e-10	7.970000e-16	9.446370e-10	9.446370e-10	7.294906e-21	2.774984e-19	1.308037e-05	-1.308226e-05	0.000000e+00
4.000000000000000e-03	7.999995e-01	7.999995e-01	3.508475e-01	3.508475e-01	7.999861e-01	4.000000e-03	8.000000e-01	0.000000e+00	0.000000e+00	3.999998e-29	3.999998e-29	-9.446370e-10	-9.446370e-10	-1.308415e-05	0.000000e+00	0.000000e+00	-6.243386e-07	-9.446366e-10	-1.039524e-10	3.840905e-13	9.446366e-10	9.446374e-10	6.252832e-07	-9.446374e-10	-9.446374e-10	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00	-7.999860e-16	-6.251793e-07	9.442533e-10	7.960000e-16	9.446370e-10	9.446370e-10	-1.303388e-20	-3.738699e-19	1.308037e-05	-1.308226e-05	0.000000e+00
5.000000000000000e-03	7.999995e-01	7.999995e-01	3.508475e-01	3.508475e-01	7.999860e-01	5.000000e-03	8.000000e-01	0.000000e+00	0.000000e+00	3.999998e-29	3.999998e-29	-9.446370e-10	-9.446370e-10	-1.308415e-05	0.000000e+00	0.000000e+00	-7.801626e-07	-9.446366e-10	-1.281013e-10	3.846327e-13	9.446366e-10	9.446374e-10	7.811072e-07	-9.446374e-10	-9.446374e-10	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00	-7.999860e-16	-7.809792e-07	9.442528e-10	7.950000e-16	9.446370e-10	9.446370e-10	2.212708e-21	-4.691520e-20	1.308037e-05	-1.308226e-05	0.000000e+00
6.000000000000000e-03	7.999995e-01	7.999995e-01	3.508475e-01	3.508475e-01	7.999860e-01	6.000000e-03	8.000000e-01	0.000000e+00	0.000000e+00	3.999998e-29	3.999998e-29	-9.446370e-10	-9.446370e-10	-1.308415e-05	0.000000e+00	0.000000e+00	-9.357879e-07	-9.446366e-10	-1.515566e-10	3.851764e-13	9.446366e-10	9.446374e-10	9.367325e-07	-9.446374e-10	-9.446374e-10	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00	-7.999860e-16	-9.365810e-07	9.442522e-10	7.940000e-16	9.446370e-10	9.446370e-10	-7.104654e-21	-4.691520e-20	1.308037e-05	-1.308226e-05	0.000000e+00
7.000000000000000e-03	7.999995e-01	7.999995e-01	3.508475e-01	3.508475e-01	7.999860e-01	7.000000e-03	8.000000e-01	0.000000e+00	0.000000e+00	3.999998e-29	3.999998e-29	-9.446370e-10	-9.446370e-10	-1.308415e-05	0.000000e+00	0.000000e+00	-1.091214e-06	-9.446366e-10	-1.743382e-10	3.857217e-13	9.446366e-10	9.446374e-10	1.092159e-06	-9.446374e-10	-9.446374e-10	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00	-7.999860e-16	-1.091985e-06	9.442517e-10	7.930000e-16	9.446370e-10	9.446370e-10	-7.104654e-21	-4.691520e-20	1.308037e-05	-1.308226e-05	0.000000e+00
8.000000000000000e-03	7.999995e-01	7.999995e-01	3.508475e-01	3.508475e-01	7.999859e-01	8.000000e-03	8.000000e-01	0.000000e+00	0.000000e+00	3.999998e-29	3.999998e-29	-9.446370e-10	-9.446370e-10	-1.308415e-05	0.000000e+00	0.000000e+00	-1.246442e-06	-9.446366e-10	-1.964653e-10	3.862685e-13	9.446366e-10	9.446374e-10	1.247386e-06	-9.446374e-10	-9.446374e-10	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00	-7.999860e-16	-1.247190e-06	9.442511e-10	7.920000e-16	9.446370e-10	9.446370e-10	3.906774e-21	2.774984e-19	1.308037e-05	-1.308226e-05	0.000000e+00
9.000000000000001e-03	7.999995e-01	7.999995e-01	3.508475e-01	3.508475e-01	7.999859e-01	9.000000e-03	8.000000e-01	0.000000e+00	0.000000e+00	3.999998e-29	3.999998e-29	-9.446370e-10	-9.446370e-10	-1.308415e-05	0.000000e+00	0.000000e+00	-1.401470e-06	-9.446366e-10	-2.179568e-10	3.868169e-13	9.446366e-10	9.446374e-10	1.402415e-06	-9.446374e-10	-9.446374e-10	0.000000e+00	0.000000e+00	-0.000000e+00	-0.000000e+00	-7.999859e-16	-1.402197e-06	9.442506e-10	7.910000e-16	9.446370e-10	9.446370e-10	9.836005e-21	-4.691520e-20	1.308037e-05	-1.308226e-05	0.000000e+00
