time	V(i_abs)	V(rd_out)	V(rd_src)	V(v_read_out)	V(w_drv)	V(w_mid)	V(w_out)	I(B_IWRITE_ABS)	I(C_DECOUP)	I(EREAD)	I(L_HM_STRIP)	I(RGND)	I(R_HM_STRIP)	I(R_SENSE)	I(S_MTJ)	I(VREAD)	I(VWRITE)	L_HM_STRIP:flux
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e-01	0.000000e+00	0.000000e+00
1.000000003627494e-15	0.000000e+00	5.000000e-02	1.000000e-01	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-06	-5.000000e-06	-5.000000e-06	0.000000e+00	0.000000e+00
2.000000007254987e-15	0.000000e+00	5.000000e-02	1.000000e-01	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-06	-5.000000e-06	-5.000000e-06	0.000000e+00	0.000000e+00
4.000000014509975e-15	0.000000e+00	5.000000e-02	1.000000e-01	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-06	-5.000000e-06	-5.000000e-06	0.000000e+00	0.000000e+00
8.000000029019950e-15	0.000000e+00	5.000000e-02	1.000000e-01	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-06	-5.000000e-06	-5.000000e-06	0.000000e+00	0.000000e+00
1.600000005803990e-14	0.000000e+00	5.000000e-02	1.000000e-01	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-06	-5.000000e-06	-5.000000e-06	0.000000e+00	0.000000e+00
3.200000011607980e-14	0.000000e+00	5.000000e-02	1.000000e-01	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-06	-5.000000e-06	-5.000000e-06	0.000000e+00	0.000000e+00
6.400000023215960e-14	0.000000e+00	5.000000e-02	1.000000e-01	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-06	-5.000000e-06	-5.000000e-06	0.000000e+00	0.000000e+00
1.280000004643192e-13	0.000000e+00	5.000000e-02	1.000000e-01	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-06	-5.000000e-06	-5.000000e-06	0.000000e+00	0.000000e+00
2.560000009286384e-13	0.000000e+00	5.000000e-02	1.000000e-01	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-06	-5.000000e-06	-5.000000e-06	0.000000e+00	0.000000e+00
5.120000018572768e-13	0.000000e+00	5.000000e-02	1.000000e-01	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-06	-5.000000e-06	-5.000000e-06	0.000000e+00	0.000000e+00
1.024000003714554e-12	0.000000e+00	5.000000e-02	1.000000e-01	5.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-06	-5.000000e-06	-5.000000e-06	0.000000e+00	0.000000e+00
