Temp_C,VDD_V,SNM_mV,sigma_noise_uV,BER,BER_lt_1e-15
-40,0.72,133.87331267041566,358.83049722675463,0.0,True
-40,0.8,144.12,358.83049722675463,0.0,True
-40,0.88,154.0632776333419,358.83049722675463,0.0,True
27,0.72,111.46820372224451,407.13722372192893,0.0,True
27,0.8,120.0,407.13722372192893,0.0,True
27,0.88,128.27916538995996,407.13722372192893,0.0,True
85,0.72,92.07273627457397,444.73787306682124,0.0,True
85,0.8,99.11999999999999,444.73787306682124,0.0,True
85,0.88,105.95859061210692,444.73787306682124,0.0,True
125,0.72,78.69655182790463,468.9159410171507,0.0,True
125,0.8,84.71999999999998,468.9159410171507,0.0,True
125,0.88,90.56509076531172,468.9159410171507,0.0,True
