time	V(in1)	V(in2)	V(in3)	V(in4)	V(out1)	V(out2)	V(out3)	V(out4)	I(L1)	I(L2)	I(L3)	I(L4)	I(R1)	I(R2)	I(R3)	I(R4)	I(R_in2)	I(R_in4)	I(Vsource)	I(Vsource2)	L1:flux	L2:flux	L3:flux	L4:flux
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.882812480489244e-16	4.882813e-07	1.032148e-13	4.882813e-07	1.032045e-18	2.326230e-08	-1.032148e-13	2.326230e-08	-1.032045e-18	4.652460e-10	-2.064297e-15	4.652460e-10	-2.064090e-20	4.652460e-10	-2.064297e-15	4.652460e-10	-2.064090e-20	2.064297e-15	2.064090e-20	-4.652460e-10	-4.652460e-10	2.270600e-22	1.007957e-28	2.270600e-22	1.007857e-33
9.765624960978488e-16	9.765625e-07	3.096375e-13	9.765625e-07	3.096066e-18	4.653542e-08	-3.096375e-13	4.653541e-08	-3.096066e-18	9.307083e-10	-6.192751e-15	9.307082e-10	-6.192132e-20	9.307083e-10	-6.192751e-15	9.307082e-10	-6.192132e-20	6.192751e-15	6.192132e-20	-9.307083e-10	-9.307082e-10	6.811748e-22	4.031762e-28	6.811748e-22	4.031359e-33
1.953124992195698e-15	1.953125e-06	9.288847e-13	1.953125e-06	9.287919e-18	9.310327e-08	-9.288847e-13	9.310326e-08	-9.287919e-18	1.862065e-09	-1.857769e-14	1.862065e-09	-1.857584e-19	1.862065e-09	-1.857769e-14	1.862065e-09	-1.857584e-19	1.857769e-14	1.857584e-19	-1.862065e-09	-1.862065e-09	2.043503e-21	1.612671e-27	2.043503e-21	1.612509e-32
3.906249984391395e-15	3.906250e-06	3.405622e-12	3.906250e-06	3.405282e-17	1.863687e-07	-3.405622e-12	1.863687e-07	-3.405282e-17	3.727374e-09	-6.811244e-14	3.727374e-09	-6.810563e-19	3.727374e-09	-6.811244e-14	3.727374e-09	-6.810563e-19	6.811244e-14	6.810563e-19	-3.727374e-09	-3.727374e-09	7.492627e-21	1.007850e-26	7.492627e-21	1.007750e-31
7.812499968782791e-15	7.812500e-06	1.331039e-11	7.812500e-06	1.330906e-16	3.734186e-07	-1.331039e-11	3.734185e-07	-1.330906e-16	7.468372e-09	-2.662079e-13	7.468369e-09	-2.661813e-18	7.468372e-09	-2.662079e-13	7.468369e-09	-2.661813e-18	2.662079e-13	2.661813e-18	-7.468372e-09	-7.468369e-09	2.928748e-20	7.537544e-26	2.928748e-20	7.536791e-31
1.562499993756558e-14	1.562500e-05	5.291173e-11	1.562500e-05	5.290645e-16	7.495936e-07	-5.291173e-11	7.495930e-07	-5.290645e-16	1.499187e-08	-1.058235e-12	1.499186e-08	-1.058129e-17	1.499187e-08	-1.058235e-12	1.499186e-08	-1.058129e-17	1.058235e-12	1.058129e-17	-1.499187e-08	-1.499186e-08	1.164534e-19	5.927358e-25	1.164534e-19	5.926766e-30
3.124999987513116e-14	3.125000e-05	2.111745e-10	3.125000e-05	2.111535e-15	1.510241e-06	-2.111745e-10	1.510239e-06	-2.111535e-15	3.020482e-08	-4.223490e-12	3.020477e-08	-4.223069e-17	3.020482e-08	-4.223490e-12	3.020477e-08	-4.223069e-17	4.223490e-12	4.223069e-17	-3.020482e-08	-3.020477e-08	4.650094e-19	4.719084e-24	4.650095e-19	4.718612e-29
6.249999975026233e-14	6.250000e-05	8.430858e-10	6.250000e-05	8.430017e-15	3.064693e-06	-8.430858e-10	3.064684e-06	-8.430017e-15	6.129386e-08	-1.686172e-11	6.129368e-08	-1.686004e-16	6.129386e-08	-1.686172e-11	6.129368e-08	-1.686004e-16	1.686172e-11	1.686004e-16	-6.129386e-08	-6.129368e-08	1.858370e-18	3.766472e-23	1.858370e-18	3.766096e-28
1.249999995005247e-13	1.250000e-04	3.361639e-09	1.250000e-04	3.361305e-14	6.305983e-06	-3.361639e-09	6.305948e-06	-3.361305e-14	1.261197e-07	-6.723277e-11	1.261190e-07	-6.722609e-16	1.261197e-07	-6.723277e-11	1.261190e-07	-6.722609e-16	6.723277e-11	6.722609e-16	-1.261197e-07	-1.261190e-07	7.424911e-18	3.004600e-22	7.424913e-18	3.004301e-27
2.499999990010493e-13	2.500000e-04	1.336357e-08	2.500000e-04	1.336225e-13	1.331614e-05	-1.336357e-08	1.331600e-05	-1.336225e-13	2.663228e-07	-2.672714e-10	2.663200e-07	-2.672450e-15	2.663228e-07	-2.672714e-10	2.663200e-07	-2.672450e-15	2.672714e-10	2.672450e-15	-2.663228e-07	-2.663200e-07	2.963603e-17	2.391111e-21	2.963604e-17	2.390875e-26
4.999999980020986e-13	5.000000e-04	5.280046e-08	5.000000e-04	5.279531e-13	2.943115e-05	-5.280046e-08	2.943060e-05	-5.279531e-13	5.886231e-07	-1.056009e-09	5.886121e-07	-1.055906e-14	5.886231e-07	-1.056009e-09	5.886121e-07	-1.055906e-14	1.056009e-09	1.055906e-14	-5.886231e-07	-5.886121e-07	1.180426e-16	1.893212e-20	1.180427e-16	1.893027e-25
9.999999960041972e-13	1.000000e-03	2.060968e-07	1.000000e-03	2.060772e-12	6.991671e-05	-2.060968e-07	6.991459e-05	-2.060772e-12	1.398334e-06	-4.121936e-09	1.398292e-06	-4.121543e-14	1.398334e-06	-4.121936e-09	1.398292e-06	-4.121543e-14	4.121936e-09	4.121543e-14	-1.398334e-06	-1.398292e-06	4.682057e-16	1.483807e-19	4.682064e-16	1.483665e-24
1.999999992008394e-12	2.000000e-03	7.854337e-07	2.000000e-03	7.853626e-12	1.829498e-04	-7.854337e-07	1.829418e-04	-7.853626e-12	3.658995e-06	-1.570867e-08	3.658836e-06	-1.570725e-13	3.658995e-06	-1.570867e-08	3.658836e-06	-1.570725e-13	1.570867e-08	1.570725e-13	-3.658995e-06	-3.658836e-06	1.841772e-15	1.139911e-18	1.841778e-15	1.139806e-23
3.999999984016789e-12	4.000000e-03	2.857666e-06	4.000000e-03	2.857432e-11	5.299750e-04	-2.857666e-06	5.299471e-04	-2.857432e-11	1.059950e-05	-5.715332e-08	1.059894e-05	-5.714863e-13	1.059950e-05	-5.715332e-08	1.059894e-05	-5.714863e-13	5.715332e-08	5.714863e-13	-1.059950e-05	-1.059894e-05	7.128848e-15	8.426110e-18	7.128889e-15	8.425395e-23
7.999999968033578e-12	8.000000e-03	9.528767e-06	8.000000e-03	9.528129e-11	1.655261e-03	-9.528767e-06	1.655174e-03	-9.528129e-11	3.310521e-05	-1.905753e-07	3.310348e-05	-1.905626e-12	3.310521e-05	-1.905753e-07	3.310348e-05	-1.905626e-12	1.905753e-07	1.905626e-12	-3.310521e-05	-3.310348e-05	2.675838e-14	5.797184e-17	2.675865e-14	5.796763e-22
1.294196024739987e-11	1.294196e-02	2.030897e-05	1.294196e-02	2.030792e-10	3.722122e-03	-2.030897e-05	3.721952e-03	-2.030792e-10	7.444245e-05	-4.061794e-07	7.443905e-05	-4.061584e-12	7.444245e-05	-4.061794e-07	7.443905e-05	-4.061584e-12	4.061794e-07	4.061584e-12	-7.444245e-05	-7.443905e-05	6.521814e-14	2.054287e-16	6.521904e-14	2.054162e-21
2.082276578676102e-11	2.082277e-02	3.840600e-05	2.082277e-02	3.840476e-10	8.196712e-03	-3.840600e-05	8.196437e-03	-3.840476e-10	1.639343e-04	-7.681200e-07	1.639287e-04	-7.680951e-12	1.639343e-04	-7.681200e-07	1.639287e-04	-7.680951e-12	7.681200e-07	7.680951e-12	-1.639343e-04	-1.639287e-04	1.512997e-13	6.681500e-16	1.513024e-13	6.681194e-21
3.088356882160869e-11	3.088357e-02	5.839602e-05	3.088357e-02	5.839515e-10	1.540764e-02	-5.839602e-05	1.540730e-02	-5.839515e-10	3.081528e-04	-1.167920e-06	3.081460e-04	-1.167903e-11	3.081528e-04	-1.167920e-06	3.081460e-04	-1.167903e-11	1.167920e-06	1.167903e-11	-3.081528e-04	-3.081460e-04	2.926640e-13	1.642056e-15	2.926698e-13	1.642004e-20
4.592828431141741e-11	4.592828e-02	7.866198e-05	4.592828e-02	7.866194e-10	2.806620e-02	-7.866198e-05	2.806588e-02	-7.866194e-10	5.613239e-04	-1.573240e-06	5.613176e-04	-1.573239e-11	5.613239e-04	-1.573240e-06	5.613176e-04	-1.573239e-11	1.573240e-06	1.573239e-11	-5.613239e-04	-5.613176e-04	5.434445e-13	3.704055e-15	5.434552e-13	3.703989e-20
6.613049283100386e-11	6.613049e-02	9.218119e-05	6.613049e-02	9.218173e-10	4.687979e-02	-9.218119e-05	4.687958e-02	-9.218173e-10	9.375957e-04	-1.843624e-06	9.375916e-04	-1.843635e-11	9.375957e-04	-1.843624e-06	9.375916e-04	-1.843635e-11	1.843624e-06	1.843635e-11	-9.375957e-04	-9.375916e-04	9.183248e-13	7.155464e-15	9.183407e-13	7.155409e-20
9.501943353016178e-11	9.501943e-02	9.853844e-05	9.501943e-02	9.853890e-10	7.515806e-02	-9.853844e-05	7.515798e-02	-9.853890e-10	1.503161e-03	-1.970769e-06	1.503160e-03	-1.970778e-11	1.503161e-03	-1.970769e-06	1.503160e-03	-1.970778e-11	1.970769e-06	1.970778e-11	-1.503161e-03	-1.503160e-03	1.483278e-12	1.266515e-14	1.483298e-12	1.266513e-19
1.299320213278493e-10	1.299320e-01	9.986727e-05	1.299320e-01	9.986739e-10	1.099448e-01	-9.986727e-05	1.099448e-01	-9.986739e-10	2.198896e-03	-1.997345e-06	2.198896e-03	-1.997348e-11	2.198896e-03	-1.997345e-06	2.198896e-03	-1.997348e-11	1.997345e-06	1.997348e-11	-2.198896e-03	-2.198896e-03	2.178887e-12	1.959201e-14	2.178909e-12	1.959200e-19
1.787601463278493e-10	1.787601e-01	1.000095e-04	1.787601e-01	1.000095e-09	1.587592e-01	-1.000095e-04	1.587592e-01	-1.000095e-09	3.175184e-03	-2.000191e-06	3.175184e-03	-2.000191e-11	3.175184e-03	-2.000191e-06	3.175184e-03	-2.000191e-11	2.000191e-06	2.000191e-11	-3.175184e-03	-3.175184e-03	3.155161e-12	2.935162e-14	3.155183e-12	2.935162e-19
2.275882713278493e-10	2.275883e-01	9.999945e-05	2.275883e-01	9.999945e-10	2.075883e-01	-9.999945e-05	2.075883e-01	-9.999945e-10	4.151767e-03	-1.999989e-06	4.151767e-03	-1.999989e-11	4.151767e-03	-1.999989e-06	4.151767e-03	-1.999989e-11	1.999989e-06	1.999989e-11	-4.151767e-03	-4.151767e-03	4.131745e-12	3.911768e-14	4.131767e-12	3.911768e-19
2.764163963278493e-10	2.764164e-01	9.999998e-05	2.764164e-01	9.999997e-10	2.564164e-01	-9.999998e-05	2.564164e-01	-9.999997e-10	5.128328e-03	-2.000000e-06	5.128328e-03	-2.000000e-11	5.128328e-03	-2.000000e-06	5.128328e-03	-2.000000e-11	2.000000e-06	2.000000e-11	-5.128328e-03	-5.128328e-03	5.108306e-12	4.888328e-14	5.108328e-12	4.888328e-19
