time	V(analog_val)	V(final_out)	V(noise_walk)	V(sram_out)	V(trig)	I(B_drift)	I(C_drift)	I(R_drift)	I(R_dummy)	I(S_analog)	I(S_sram)	I(V_sram)	I(V_trigger)
0.000000000000000e+00	9.990010e-01	9.990000e-01	1.000000e+00	1.000000e+00	0.000000e+00	-9.990000e-07	9.990010e-25	9.990000e-07	9.990000e-07	-9.990000e-07	-1.999998e-15	-1.999998e-15	0.000000e+00
1.953124992195698e-15	9.990010e-01	9.990000e-01	1.000000e+00	1.000000e+00	0.000000e+00	-9.990000e-07	-5.684342e-14	9.990000e-07	9.990000e-07	-9.990000e-07	-1.999998e-15	-1.999998e-15	0.000000e+00
3.906249984391395e-15	9.990010e-01	9.990000e-01	1.000000e+00	1.000000e+00	0.000000e+00	-9.990000e-07	-5.684342e-14	9.990000e-07	9.990000e-07	-9.990000e-07	-1.999998e-15	-1.999998e-15	0.000000e+00
7.812499968782791e-15	9.990010e-01	9.990000e-01	1.000000e+00	1.000000e+00	0.000000e+00	-9.990000e-07	-5.684342e-14	9.990000e-07	9.990000e-07	-9.990000e-07	-1.999998e-15	-1.999998e-15	0.000000e+00
1.562499993756558e-14	9.990010e-01	9.990000e-01	1.000000e+00	1.000000e+00	0.000000e+00	-9.990000e-07	0.000000e+00	9.990000e-07	9.990000e-07	-9.990000e-07	-1.999998e-15	-1.999998e-15	0.000000e+00
3.124999987513116e-14	9.990010e-01	9.990000e-01	1.000000e+00	1.000000e+00	0.000000e+00	-9.990000e-07	1.421085e-14	9.990000e-07	9.990000e-07	-9.990000e-07	-1.999998e-15	-1.999998e-15	0.000000e+00
6.249999975026233e-14	9.990010e-01	9.990000e-01	1.000000e+00	1.000000e+00	0.000000e+00	-9.990000e-07	0.000000e+00	9.990000e-07	9.990000e-07	-9.990000e-07	-1.999998e-15	-1.999998e-15	0.000000e+00
1.249999995005247e-13	9.990010e-01	9.990000e-01	1.000000e+00	1.000000e+00	0.000000e+00	-9.990000e-07	3.552714e-15	9.990000e-07	9.990000e-07	-9.990000e-07	-1.999998e-15	-1.999998e-15	0.000000e+00
2.499999990010493e-13	9.990010e-01	9.990000e-01	1.000000e+00	1.000000e+00	0.000000e+00	-9.990000e-07	0.000000e+00	9.990000e-07	9.990000e-07	-9.990000e-07	-1.999998e-15	-1.999998e-15	0.000000e+00
4.999999980020986e-13	9.990010e-01	9.990000e-01	1.000000e+00	1.000000e+00	0.000000e+00	-9.990000e-07	-5.329071e-15	9.990000e-07	9.990000e-07	-9.990000e-07	-1.999998e-15	-1.999998e-15	0.000000e+00
